"Skill","What it does","Outlier fit","Outlier pipeline use","Category","Caution","Source","SKILL.md paths"
"aeroleads-automation","Automate Aeroleads tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Sales & marketing","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/aeroleads-automation/SKILL.md"
"affinda-automation","Automate Affinda tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/affinda-automation/SKILL.md"
"affinity-automation","Automate Affinity tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/affinity-automation/SKILL.md"
"agencyzoom-automation","Automate Agencyzoom tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/agencyzoom-automation/SKILL.md"
"agent-mail-automation","Automate Agent Mail tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/agent-mail-automation/SKILL.md"
"agentql-automation","Automate Agentql tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/agentql-automation/SKILL.md"
"agenty-automation","Automate Agenty tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/agenty-automation/SKILL.md"
"agiled-automation","Automate Agiled tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/agiled-automation/SKILL.md"
"agility-cms-automation","Automate Agility CMS tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/agility-cms-automation/SKILL.md"
"Ahrefs Automation","Automate SEO research with Ahrefs -- analyze backlink profiles, research keywords, track domain metrics history, audit organic rankings, and perform batch URL analysis through the Composio Ahrefs integration.","No direct fit","Build operator-facing views of feed health, candidate funnels, ROI, CLV, calibration, coverage, and settlement status from canonical Outlier artifacts.","Sales & marketing","Preserve canonical artifacts and confirm exact targets before moves, overwrites, or deletion.","Codex skill","C:/Users/dasil/.codex/skills/ahrefs-automation/SKILL.md"
"ai-ml-api-automation","Automate AI ML API tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/ai-ml-api-automation/SKILL.md"
"aivoov-automation","Automate Aivoov tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/aivoov-automation/SKILL.md"
"alchemy-automation","Automate Alchemy tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/alchemy-automation/SKILL.md"
"alert-edges","Surface high-value prop edges with Outlier cross-reference and configurable thresholds","Direct","Use directly for Outlier slate analysis, prop review, backtesting, data checks, consolidation, or edge alerts as named by the skill.","Outlier pipeline","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","User agent","C:/Users/dasil/.agents/skills/alert-edges/SKILL.md"
"algodocs-automation","Automate Algodocs tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Files & documents","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/algodocs-automation/SKILL.md"
"algolia-automation","Automate Algolia tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/algolia-automation/SKILL.md"
"all-images-ai-automation","Automate All Images AI tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/all-images-ai-automation/SKILL.md"
"alpha-vantage-automation","Automate Alpha Vantage tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/alpha-vantage-automation/SKILL.md"
"altoviz-automation","Automate Altoviz tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/altoviz-automation/SKILL.md"
"alttext-ai-automation","Automate Alttext AI tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/alttext-ai-automation/SKILL.md"
"amara-automation","Automate Amara tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/amara-automation/SKILL.md"
"amazon-automation","Automate Amazon tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/amazon-automation/SKILL.md"
"ambee-automation","Automate Ambee tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/ambee-automation/SKILL.md"
"ambient-weather-automation","Automate Ambient Weather tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/ambient-weather-automation/SKILL.md"
"amcards-automation","Automate Amcards tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/amcards-automation/SKILL.md"
"analyze-all","Prepare optimized analysis prompts for each LLM (ChatGPT, Gemini, Grok, Copilot) from prop edges data","Direct","Use directly for Outlier slate analysis, prop review, backtesting, data checks, consolidation, or edge alerts as named by the skill.","Outlier pipeline","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","User agent","C:/Users/dasil/.agents/skills/analyze-all/SKILL.md"
"analyze-outlier-generic-prompts","Analyze Outlier Desk 1 generic/master prompts with the current agent or automate them through the installed Codex, Claude, Gemini, and Grok CLIs, saving every report in the separate shared Desktop BETTING REPORTS/GENERIC/date folder. Use when the user explicitly asks in the current turn to run Master Cards, Master HitRate, Master Totals, or other Desk1_Automated generic prompts.","Direct","Analyze generated Desk1_Automated prompts with native Codex reasoning and save the required GENERIC betting reports. Use only when prompt analysis is explicitly requested.","Outlier pipeline","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Outlier repo","C:/Users/dasil/Dev/GitHub/outlier/.agents/skills/analyze-outlier-generic-prompts/SKILL.md"
"analyze-outlier-sequential-prompts","Run the ordered Outlier Desk 2 prompt workflow manually or automate the full fixed-provider chain through the installed Codex, Claude, Gemini, and Grok CLIs, saving each phase report in the shared Desktop BETTING REPORTS/SEQUENTIAL/date folder. Use when the user explicitly asks in the current turn to run the next, a named phase, or the full Q-R-W-X-S workflow.","Direct","Run the manual Desk2 prompt sequence in the required Q → R → W → X → S order and save the SEQUENTIAL reports. Use only when prompt analysis is explicitly requested.","Outlier pipeline","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Outlier repo","C:/Users/dasil/Dev/GitHub/outlier/.agents/skills/analyze-outlier-sequential-prompts/SKILL.md"
"analyze-props","Generate prop edges, merge all data sources, and produce an analysis-ready package for LLM betting analysis","Direct","Use directly for Outlier slate analysis, prop review, backtesting, data checks, consolidation, or edge alerts as named by the skill.","Outlier pipeline","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","User agent","C:/Users/dasil/.agents/skills/analyze-props/SKILL.md"
"analyze-wnba-outlier","Refresh the standalone Outlier WNBA slate, validate line movement and injuries, and produce a betting report for today's remaining games. Use when the user asks to refresh WNBA data, rebuild candidates or dossiers, inspect stale lines or injury news, or rank the best WNBA props to play.","Direct","Use directly for Outlier slate analysis, prop review, backtesting, data checks, consolidation, or edge alerts as named by the skill.","Outlier pipeline","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","User agent","C:/Users/dasil/.agents/skills/analyze-wnba-outlier/SKILL.md"
"anchor-browser-automation","Automate Anchor Browser tasks via Rube MCP (Composio). Always search tools first for current schemas.","Strong","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/anchor-browser-automation/SKILL.md"
"anonyflow-automation","Automate Anonyflow tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/anonyflow-automation/SKILL.md"
"anthropic_administrator-automation","Automate Anthropic Admin tasks via Rube MCP (Composio): API keys, usage, workspaces, and organization management. Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Codex skill","C:/Users/dasil/.codex/skills/anthropic_administrator-automation/SKILL.md"
"anthropic-administrator-automation","Automate Anthropic Admin tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Codex skill","C:/Users/dasil/.codex/skills/anthropic-administrator-automation/SKILL.md"
"apaleo-automation","Automate Apaleo tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/apaleo-automation/SKILL.md"
"apex27-automation","Automate Apex27 tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/apex27-automation/SKILL.md"
"api-bible-automation","Automate API Bible tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/api-bible-automation/SKILL.md"
"api-labz-automation","Automate API Labz tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/api-labz-automation/SKILL.md"
"api-ninjas-automation","Automate API Ninjas tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/api-ninjas-automation/SKILL.md"
"api-sports-automation","Automate API Sports tasks via Rube MCP (Composio). Always search tools first for current schemas.","Strong","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Sports & betting","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/api-sports-automation/SKILL.md"
"api2pdf-automation","Automate Api2pdf tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/api2pdf-automation/SKILL.md"
"apiflash-automation","Automate Apiflash tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/apiflash-automation/SKILL.md"
"Apify Automation","Automate web scraping and data extraction with Apify -- run Actors, manage datasets, create reusable tasks, and retrieve crawl results through the Composio Apify integration.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/apify-automation/SKILL.md"
"apilio-automation","Automate Apilio tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/apilio-automation/SKILL.md"
"apipie-ai-automation","Automate Apipie AI tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/apipie-ai-automation/SKILL.md"
"apitemplate-io-automation","Automate Apitemplate IO tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/apitemplate-io-automation/SKILL.md"
"apiverve-automation","Automate Apiverve tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/apiverve-automation/SKILL.md"
"Apollo Automation","Automate Apollo.io lead generation -- search organizations, discover contacts, enrich prospect data, manage contact stages, and build targeted outreach lists -- using natural language through the Composio MCP integration.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Sales & marketing","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/apollo-automation/SKILL.md"
"appcircle-automation","Automate Appcircle tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/appcircle-automation/SKILL.md"
"appdrag-automation","Automate Appdrag tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/appdrag-automation/SKILL.md"
"appointo-automation","Automate Appointo tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/appointo-automation/SKILL.md"
"appsflyer-automation","Automate Appsflyer tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/appsflyer-automation/SKILL.md"
"appveyor-automation","Automate Appveyor tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Cloud & infrastructure","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/appveyor-automation/SKILL.md"
"artifacts-builder","Suite of tools for creating elaborate, multi-component claude.ai HTML artifacts using modern frontend web technologies (React, Tailwind CSS, shadcn/ui). Use for complex artifacts requiring state management, routing, or shadcn/ui components - not for simple single-file HTML/JSX artifacts.","No direct fit","Distribute or archive pack reports, prompts, audits, and run receipts. Treat copied documents as derived views, not the source of executable recommendations.","Business operations","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Codex skill","C:/Users/dasil/.codex/skills/artifacts-builder/SKILL.md"
"aryn-automation","Automate Aryn tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/aryn-automation/SKILL.md"
